"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.880548580E-1,-1.485602140E0,4.588487625E0,8.464101791E0,9.741778664E0
1.905679830E-1,-1.499967337E0,4.636371613E0,8.454524994E0,9.758321403E0
1.930812120E-1,-1.514332533E0,4.684255600E0,8.449736595E0,9.779238318E0
1.955945970E-1,-1.499967337E0,4.727351189E0,8.430583000E0,9.781231057E0
1.981081390E-1,-1.490390539E0,4.746504784E0,8.401852608E0,9.764307393E0
2.006218370E-1,-1.466448545E0,4.765658379E0,8.411429405E0,9.778247070E0
2.031356910E-1,-1.428141356E0,4.794388771E0,8.401852608E0,9.778388347E0
2.056497010E-1,-1.356315255E0,4.765658379E0,8.421006203E0,9.770590377E0
2.081638680E-1,-1.294066072E0,4.741716385E0,8.373122215E0,9.709153254E0
2.106781390E-1,-1.241393566E0,4.722562790E0,8.387487411E0,9.705338859E0
2.131924620E-1,-1.198297977E0,4.660313606E0,8.377910614E0,9.661460925E0
2.157067850E-1,-1.155202270E0,4.631583214E0,8.416217804E0,9.675679691E0
2.182206910E-1,-1.107318282E0,4.607641220E0,8.430583000E0,9.671155108E0
2.207336600E-1,-1.078587890E0,4.550180435E0,8.449736595E0,9.657408677E0
2.232465760E-1,-1.073799491E0,4.487931252E0,8.521562576E0,9.690799813E0
2.257594410E-1,-1.059434295E0,4.425682068E0,8.511985779E0,9.652096388E0
2.282721490E-1,-1.040280581E0,4.377797604E0,8.574234962E0,9.683222642E0
2.307848580E-1,-1.011550188E0,4.344278812E0,8.646060944E0,9.728841762E0
2.332973060E-1,-1.030703783E0,4.267664433E0,8.636484146E0,9.688352203E0
2.358097540E-1,-1.088164687E0,4.219780445E0,8.670002937E0,9.703586982E0
2.383222010E-1,-1.097741485E0,4.186261654E0,8.765770912E0,9.775917486E0
2.408346490E-1,-1.107318282E0,4.167108059E0,8.751405716E0,9.755923604E0
2.433470970E-1,-1.112106681E0,4.133589268E0,8.650849342E0,9.651970568E0
2.458595970E-1,-1.136048675E0,4.133589268E0,8.679579735E0,9.680509863E0
2.483721490E-1,-1.155202270E0,4.143166065E0,8.703521729E0,9.708326725E0
2.508848060E-1,-1.136048675E0,4.143166065E0,8.693944931E0,9.697479575E0
2.533976180E-1,-1.097741485E0,3.980360270E0,8.564658165E0,9.507979476E0
2.559106390E-1,-1.054645896E0,3.721786499E0,8.540716171E0,9.375916245E0
2.584238680E-1,-1.083376288E0,3.654748917E0,8.631695747E0,9.435945385E0
2.609373580E-1,-1.145625472E0,3.659537315E0,8.689156532E0,9.497689842E0
2.634511080E-1,-1.193509579E0,3.669114113E0,8.765770912E0,9.577348442E0
2.659650660E-1,-1.241393566E0,3.712209702E0,8.851962090E0,9.678780486E0
2.684792330E-1,-1.294066072E0,3.779247284E0,8.947730064E0,9.798938225E0
2.709936080E-1,-1.375468850E0,3.836708307E0,9.019556046E0,9.897708647E0
2.735081390E-1,-1.442506552E0,3.913322687E0,9.086593628E0,9.998054979E0
2.760227740E-1,-1.471236944E0,3.970783472E0,9.144054413E0,1.007697329E1
2.785374620E-1,-1.543063045E0,4.013879299E0,9.177573204E0,1.013509351E1
2.810521490E-1,-1.600523829E0,4.076128483E0,9.201516151E0,1.019040723E1
2.835668370E-1,-1.629254222E0,4.124012470E0,9.182361603E0,1.019694625E1
2.860805870E-1,-1.677138329E0,4.147954464E0,9.086593628E0,1.012840081E1
2.885942330E-1,-1.696291924E0,4.147954464E0,9.033921242E0,1.008437730E1
2.911078790E-1,-1.715445518E0,4.138377666E0,8.981248856E0,1.003652101E1
2.936215240E-1,-1.725022316E0,4.133589268E0,8.880692482E0,9.946303896E0
2.961351700E-1,-1.725022316E0,4.124012470E0,8.765770912E0,9.839813033E0
2.986488160E-1,-1.710657120E0,4.104858875E0,8.674791336E0,9.748241836E0
3.011624620E-1,-1.634042621E0,4.009090900E0,8.545504570E0,9.579590466E0
3.036761080E-1,-1.538274646E0,3.985148668E0,8.435371399E0,9.455325982E0
3.061897540E-1,-1.499967337E0,4.037821293E0,8.291719437E0,9.343795483E0
3.087033990E-1,-1.437718153E0,4.109647274E0,8.176796913E0,9.263705628E0
3.112170450E-1,-1.389834046E0,4.210203648E0,8.033144951E0,9.175449375E0
3.137307430E-1,-1.341950059E0,4.349067211E0,7.879916191E0,9.099906304E0
3.162444930E-1,-1.308431268E0,4.483142853E0,7.812878609E0,9.102287316E0
3.187582950E-1,-1.294066072E0,4.655525208E0,7.788936615E0,9.166027250E0
3.212721490E-1,-1.274912357E0,4.775235176E0,7.793725014E0,9.228782265E0
3.237860560E-1,-1.250970364E0,4.871003151E0,7.903858185E0,9.368168057E0
3.263000140E-1,-1.236605167E0,4.942829609E0,8.095394135E0,9.565362674E0
3.288139720E-1,-1.227028370E0,5.038597584E0,8.363545418E0,9.840831072E0
3.313279310E-1,-1.207874775E0,5.124788761E0,8.641272545E0,1.011899266E1
3.338418890E-1,-1.188721180E0,5.139153957E0,8.928576469E0,1.037031529E1
3.363558470E-1,-1.145625472E0,5.072116375E0,9.153631210E0,1.052747769E1
3.388698060E-1,-1.116895080E0,4.909310818E0,9.287707329E0,1.056457736E1
3.413837640E-1,-1.069011092E0,4.708197594E0,9.369110107E0,1.053993043E1
3.438975660E-1,-1.016338587E0,4.497508049E0,9.369110107E0,1.044225775E1
3.464113160E-1,-1.011550188E0,4.334702015E0,9.302072525E0,1.031219805E1
3.489250660E-1,-1.069011092E0,4.258087635E0,9.220669746E0,1.021248479E1
3.514387120E-1,-1.150413871E0,4.258087635E0,9.124900818E0,1.013501738E1
3.539523580E-1,-1.198297977E0,4.262876034E0,9.019556046E0,1.004790632E1
3.564660040E-1,-1.241393566E0,4.262876034E0,8.923788071E0,9.967304731E0
3.589796490E-1,-1.265335560E0,4.224568844E0,8.856750488E0,9.893941844E0
3.614932950E-1,-1.265335560E0,4.157531261E0,8.823231697E0,9.835423623E0
3.640069410E-1,-1.250970364E0,4.085705280E0,8.808866501E0,9.790507827E0
3.665206390E-1,-1.255758762E0,4.004302502E0,8.823231697E0,9.770403583E0
3.690343890E-1,-1.227028370E0,3.932476282E0,8.818443298E0,9.733186042E0
3.715481390E-1,-1.198297977E0,3.884592295E0,8.828020096E0,9.719049035E0
3.740618890E-1,-1.183932781E0,3.865438700E0,8.851962090E0,9.731420554E0
3.765756390E-1,-1.169567585E0,3.855861902E0,8.847173691E0,9.721524657E0
3.790893890E-1,-1.159990668E0,3.879803896E0,8.871115685E0,9.751674221E0
3.816031390E-1,-1.126471877E0,3.884592295E0,8.851962090E0,9.732226314E0
3.841168890E-1,-1.092953086E0,3.879803896E0,8.828020096E0,9.704708318E0
3.866306390E-1,-1.049857497E0,3.908534288E0,8.818443298E0,9.702771937E0
3.891443890E-1,-9.828197956E-1,3.942053080E0,8.828020096E0,9.718006794E0
3.916581390E-1,-9.109937549E-1,3.965995073E0,8.899846077E0,9.786025073E0
3.941718890E-1,-7.960720658E-1,3.989937067E0,8.942941666E0,9.824944487E0
3.966852220E-1,-6.859387755E-1,4.037821293E0,9.014767647E0,9.901542734E0
3.991985560E-1,-6.189011335E-1,4.080916882E0,9.057863235E0,9.953984509E0
4.017118890E-1,-5.422866940E-1,4.162319660E0,9.091382027E0,1.001360110E1
