"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.393699500E-2,-2.693476975E-1,3.118447781E0,9.886257172E0,1.036992505E1
2.643751600E-2,-5.997475386E-1,3.377021551E0,1.024059963E1,1.079971539E1
2.893902600E-2,-7.577648163E-1,3.458424330E0,1.035073280E1,1.093949615E1
3.144194300E-2,-8.918401599E-1,3.501519918E0,1.039861679E1,1.100850815E1
3.394663000E-2,-9.684545994E-1,3.501519918E0,1.036988640E1,1.098786103E1
3.645340100E-2,-1.030703783E0,3.487154722E0,1.031242561E1,1.093474830E1
3.896241200E-2,-1.083376288E0,3.472789526E0,1.025496483E1,1.088109714E1
4.147376600E-2,-1.049857497E0,3.424905539E0,1.019271564E1,1.080387111E1
4.398741200E-2,-9.397241473E-1,3.338714361E0,1.010652351E1,1.068512576E1
4.650324500E-2,-7.769184709E-1,3.281253338E0,9.996390343E0,1.054978889E1
4.902110900E-2,-6.189011335E-1,3.199850559E0,9.862315178E0,1.038688321E1
5.154074500E-2,-4.369418025E-1,3.123236179E0,9.704298019E0,1.020386801E1
5.406183900E-2,-2.932897210E-1,3.017891169E0,9.584588051E0,1.005276151E1
5.658402600E-2,-1.687912196E-1,2.936488390E0,9.464878082E0,9.911375871E0
5.910689100E-2,-7.781155407E-2,2.864662409E0,9.407417297E0,9.834218096E0
6.163006800E-2,-5.386953801E-2,2.788047791E0,9.388263702E0,9.793651401E0
6.415084900E-2,-5.865794048E-2,2.759317398E0,9.416994095E0,9.813106085E0
6.666407800E-2,-1.209071875E-1,2.692279816E0,9.512762070E0,9.887144752E0
6.917730700E-2,-1.687912196E-1,2.673126221E0,9.632472038E0,9.997930378E0
7.169043200E-2,-2.262520641E-1,2.644395828E0,9.747393608E0,1.010226219E1
7.420355700E-2,-2.789244950E-1,2.653972626E0,9.891045570E0,1.024471337E1
7.671663000E-2,-3.124433160E-1,2.663549423E0,1.002512074E1,1.037762796E1
7.922939100E-2,-3.315969408E-1,2.649184227E0,1.012567711E1,1.047174630E1
8.174215100E-2,-3.363853395E-1,2.644395828E0,1.019271564E1,1.053553210E1
8.425491200E-2,-3.268085420E-1,2.630030632E0,1.024538803E1,1.058261975E1
8.676772400E-2,-2.837128937E-1,2.620453835E0,1.028848362E1,1.062074228E1
8.928058900E-2,-2.262520641E-1,2.572569609E0,1.029806042E1,1.061693707E1
9.179350500E-2,-1.879448295E-1,2.562992811E0,1.025975323E1,1.057670987E1
9.430647400E-2,-1.256955862E-1,2.519897223E0,1.021665764E1,1.052358184E1
9.681954700E-2,-5.865794048E-2,2.472013235E0,1.018792725E1,1.048370887E1
9.933272400E-2,-3.950432688E-2,2.462436438E0,1.014004230E1,1.043482687E1
1.018459530E-1,-3.471592441E-2,2.443282843E0,1.011131191E1,1.040237785E1
1.043592340E-1,-3.471592441E-2,2.414552450E0,1.009215832E1,1.037703851E1
1.068725680E-1,-4.908113554E-2,2.395398855E0,1.003469753E1,1.031675817E1
1.093859530E-1,-8.259996027E-2,2.385822058E0,1.000596714E1,1.028680456E1
1.118993910E-1,-1.017535701E-1,2.385822058E0,9.962871552E0,1.024506272E1
1.144128800E-1,-1.161187813E-1,2.357091665E0,9.919775963E0,1.019663277E1
1.169264220E-1,-1.256955862E-1,2.352303267E0,9.862315178E0,1.013974313E1
