"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.094307300E-2,-1.428141356E0,4.080916882E0,9.211092949E0,1.017534784E1
3.344901100E-2,-1.351526856E0,4.061763287E0,9.129689217E0,1.008344044E1
3.595729200E-2,-1.260547161E0,4.061763287E0,9.038709641E0,9.989252830E0
3.846796900E-2,-1.164779186E0,4.018667698E0,8.962095261E0,9.890680062E0
4.098109400E-2,-1.040280581E0,3.975571871E0,8.828020096E0,9.737622615E0
4.349656300E-2,-9.493009448E-1,3.937264681E0,8.737040520E0,9.630114355E0
4.601416700E-2,-8.535329103E-1,3.884592295E0,8.679579735E0,9.547443642E0
4.853364600E-2,-7.960720658E-1,3.803189516E0,8.665214539E0,9.496521691E0
5.105463600E-2,-7.673416734E-1,3.731363297E0,8.650849342E0,9.452464210E0
5.357677100E-2,-7.338228226E-1,3.673902512E0,8.660426140E0,9.436049837E0
5.609963600E-2,-7.529764175E-1,3.621230125E0,8.679579735E0,9.434796526E0
5.862276100E-2,-7.625532150E-1,3.582922935E0,8.679579735E0,9.420930344E0
6.114182300E-2,-7.864952683E-1,3.535038710E0,8.703521729E0,9.426895776E0
6.365385500E-2,-8.008604646E-1,3.525461912E0,8.713098526E0,9.433363403E0
6.616588600E-2,-7.960720658E-1,3.506308317E0,8.717886925E0,9.430242902E0
6.867791700E-2,-7.864952683E-1,3.496731520E0,8.717886925E0,9.425882376E0
7.118994800E-2,-7.721300721E-1,3.501519918E0,8.746617317E0,9.453049301E0
7.370203200E-2,-7.625532150E-1,3.506308317E0,8.732252121E0,9.440758048E0
7.621421900E-2,-7.386112213E-1,3.530250311E0,8.703521729E0,9.421226262E0
7.872651100E-2,-7.194576263E-1,3.539827108E0,8.670002937E0,9.392387671E0
8.123895900E-2,-7.194576263E-1,3.554192305E0,8.641272545E0,9.371312256E0
8.375156300E-2,-7.098808289E-1,3.558980942E0,8.622118950E0,9.354742718E0
8.626432300E-2,-6.907271743E-1,3.549403906E0,8.588600159E0,9.318767343E0
8.877724000E-2,-7.098808289E-1,3.563769341E0,8.535927773E0,9.277200313E0
9.129031300E-2,-7.194576263E-1,3.578134537E0,8.526350975E0,9.274660478E0
9.380354200E-2,-7.290344238E-1,3.573346138E0,8.497620583E0,9.247153583E0
9.631687500E-2,-7.529764175E-1,3.582922935E0,8.497620583E0,9.252776114E0
9.883031300E-2,-7.721300721E-1,3.558980942E0,8.521562576E0,9.267122473E0
1.013438550E-1,-7.912836671E-1,3.558980942E0,8.535927773E0,9.281946893E0
1.038574480E-1,-8.295909166E-1,3.535038710E0,8.583811760E0,9.320222320E0
1.063710940E-1,-8.678981066E-1,3.525461912E0,8.607753754E0,9.342138594E0
1.088847400E-1,-9.062053561E-1,3.501519918E0,8.650849342E0,9.376515570E0
1.113983860E-1,-9.109937549E-1,3.482366323E0,8.698733330E0,9.414071721E0
1.139115110E-1,-9.349357486E-1,3.491943121E0,8.741828918E0,9.459775074E0
1.164245320E-1,-9.636662006E-1,3.511096716E0,8.765770912E0,9.491848733E0
1.189375520E-1,-9.684545994E-1,3.506308317E0,8.775347710E0,9.499412074E0
1.214505730E-1,-9.588778019E-1,3.535038710E0,8.799289703E0,9.531182749E0
1.239635940E-1,-9.636662006E-1,3.568557739E0,8.818443298E0,9.561809405E0
1.264766150E-1,-9.540894032E-1,3.602076530E0,8.861538887E0,9.613121937E0
1.289896360E-1,-9.493009448E-1,3.640383720E0,8.909422874E0,9.671162385E0
1.315026570E-1,-9.636662006E-1,3.697844505E0,8.957306862E0,9.738380397E0
1.340156770E-1,-1.083376288E0,3.927687883E0,9.019556046E0,9.897112081E0
1.365286980E-1,-1.150413871E0,4.066551685E0,9.014767647E0,9.956220689E0
1.390417190E-1,-1.126471877E0,4.109647274E0,9.096170425E0,1.004482235E1
1.415545840E-1,-1.078587890E0,4.104858875E0,9.153631210E0,1.008970676E1
1.440674480E-1,-1.054645896E0,4.104858875E0,9.153631210E0,1.008717546E1
1.465803130E-1,-1.006761789E0,4.109647274E0,9.139266014E0,1.007119423E1
1.490931770E-1,-9.828197956E-1,4.104858875E0,9.100958824E0,1.003211108E1
1.516060420E-1,-9.684545994E-1,4.095282078E0,9.091382027E0,1.001810695E1
1.541189070E-1,-9.397241473E-1,4.037821293E0,9.091382027E0,9.992012281E0
1.566317710E-1,-7.721300721E-1,3.807977915E0,9.220669746E0,1.000587983E1
1.591446360E-1,-6.955155730E-1,3.721786499E0,9.215881348E0,9.963328042E0
1.616575000E-1,-6.667851806E-1,3.736151695E0,9.153631210E0,9.909207653E0
1.641703650E-1,-6.428431273E-1,3.769670486E0,9.029132843E0,9.805554689E0
1.666832300E-1,-6.476315856E-1,3.784035683E0,8.871115685E0,9.666180539E0
1.691960940E-1,-6.428431273E-1,3.803189516E0,8.741828918E0,9.554950059E0
1.717089590E-1,-6.284779310E-1,3.812766314E0,8.636484146E0,9.461555363E0
1.742218230E-1,-6.284779310E-1,3.817554712E0,8.545504570E0,9.380530734E0
1.767346880E-1,-6.332663298E-1,3.831919909E0,8.502408981E0,9.347491370E0
1.792475520E-1,-6.811503768E-1,3.942053080E0,8.468890190E0,9.366207844E0
1.817604170E-1,-7.290344238E-1,3.970783472E0,8.483255386E0,9.394904711E0
1.842732820E-1,-7.481880188E-1,3.989937067E0,8.540716171E0,9.456384924E0
1.867861460E-1,-7.481880188E-1,3.985148668E0,8.655637741E0,9.558308424E0
1.892988020E-1,-7.386112213E-1,3.994725466E0,8.765770912E0,9.661372458E0
1.918114590E-1,-7.242460251E-1,4.004302502E0,8.861538887E0,9.751196966E0
1.943241150E-1,-7.003039718E-1,3.985148668E0,8.981248856E0,9.850617573E0
1.968367710E-1,-6.955155730E-1,3.961206675E0,9.129689217E0,9.976278135E0
1.993494270E-1,-6.859387755E-1,3.875015497E0,9.292495728E0,1.009141883E1
2.018620840E-1,-6.572083831E-1,3.831919909E0,9.460089684E0,1.022784581E1
2.043747400E-1,-6.428431273E-1,3.798400879E0,9.613318443E0,1.035649497E1
2.068873960E-1,-6.572083831E-1,3.764882088E0,9.713874817E0,1.043866006E1
2.094000520E-1,-6.811503768E-1,3.740940094E0,9.756970406E0,1.047172718E1
2.119127090E-1,-6.811503768E-1,3.731363297E0,9.780912399E0,1.049062845E1
2.144253650E-1,-6.667851806E-1,3.731363297E0,9.704298019E0,1.041830478E1
2.169380210E-1,-6.332663298E-1,3.736151695E0,9.608530045E0,1.032878044E1
2.194506770E-1,-5.853823423E-1,3.755305290E0,9.507973671E0,1.023946061E1
