"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.860463540E-1,-1.945288897E0,2.462436438E0,8.966883659E0,9.500144455E0
1.885592180E-1,-1.921346903E0,2.419340849E0,9.009979248E0,9.524941476E0
1.910720830E-1,-1.902193308E0,2.371456861E0,9.009979248E0,9.509041649E0
1.935849480E-1,-1.873462796E0,2.342726469E0,9.024344444E0,9.509838211E0
1.960978120E-1,-1.878251195E0,2.337938070E0,9.048286438E0,9.532327598E0
1.986106770E-1,-1.854309201E0,2.352303267E0,9.081805229E0,9.563000549E0
2.011235410E-1,-1.839944005E0,2.333149672E0,9.115324020E0,9.587393458E0
2.036364060E-1,-1.854309201E0,2.347514868E0,9.110535622E0,9.589116121E0
2.061492710E-1,-1.835155606E0,2.352303267E0,9.134477615E0,9.609360440E0
2.086621350E-1,-1.830367208E0,2.371456861E0,9.144054413E0,9.622254562E0
2.111750000E-1,-1.825578809E0,2.376245260E0,9.148842812E0,9.627076624E0
2.136878640E-1,-1.816002011E0,2.400187254E0,9.163208008E0,9.644850603E0
2.162007290E-1,-1.816002011E0,2.414552450E0,9.167996407E0,9.652983215E0
2.187136460E-1,-1.806425214E0,2.433706045E0,9.139266014E0,9.628721641E0
2.212266140E-1,-1.811213613E0,2.476801634E0,9.115324020E0,9.617908977E0
2.237396350E-1,-1.839944005E0,2.510320425E0,9.105747223E0,9.622979532E0
2.262527080E-1,-1.868674397E0,2.510320425E0,9.110535622E0,9.633042715E0
2.287658330E-1,-1.897404790E0,2.500743628E0,9.110535622E0,9.636167440E0
2.312789580E-1,-1.902193308E0,2.495955229E0,9.096170425E0,9.622289140E0
2.337920830E-1,-1.906981707E0,2.491166830E0,9.096170425E0,9.621996041E0
2.363052080E-1,-1.911770105E0,2.495955229E0,9.081805229E0,9.610610993E0
2.388183330E-1,-1.926135302E0,2.472013235E0,9.043498039E0,9.571086846E0
2.413308850E-1,-1.969230890E0,2.462436438E0,9.029132843E0,9.563822636E0
2.438433330E-1,-1.954865694E0,2.424129248E0,9.038709641E0,9.560134646E0
2.463557810E-1,-1.906981707E0,2.419340849E0,9.009979248E0,9.522054160E0
2.488682290E-1,-1.926135302E0,2.395398855E0,9.014767647E0,9.524388096E0
2.513806770E-1,-1.935712099E0,2.424129248E0,9.038709641E0,9.556236493E0
2.538931770E-1,-1.964442492E0,2.438494444E0,9.048286438E0,9.574799054E0
2.564057290E-1,-1.988384485E0,2.419340849E0,9.048286438E0,9.574882269E0
2.589183330E-1,-1.978807688E0,2.409764051E0,9.053074837E0,9.575009486E0
2.614310410E-1,-1.993172884E0,2.390610456E0,9.086593628E0,9.604891476E0
2.639438020E-1,-2.041056871E0,2.381033659E0,9.105747223E0,9.630673233E0
2.664566140E-1,-2.103306293E0,2.352303267E0,9.115324020E0,9.646054117E0
2.689694790E-1,-2.127248287E0,2.342726469E0,9.153631210E0,9.685169948E0
2.714823960E-1,-2.184709072E0,2.323572636E0,9.191938400E0,9.729525943E0
2.739953640E-1,-2.218227863E0,2.313995838E0,9.258976936E0,9.798151127E0
2.765084370E-1,-2.280477047E0,2.313995838E0,9.330802917E0,9.880234582E0
2.790216140E-1,-2.505532026E0,2.448071241E0,9.723451614E0,1.033519496E1
2.815348960E-1,-2.610877037E0,2.505532026E0,9.891045570E0,1.053219598E1
2.840482810E-1,-2.596511841E0,2.539050817E0,9.876680374E0,1.052318716E1
2.865617180E-1,-2.529474020E0,2.582146645E0,9.809642792E0,1.045441590E1
2.890752080E-1,-2.510320425E0,2.644395828E0,9.776124001E0,1.043394165E1
2.915887500E-1,-2.519897223E0,2.677914619E0,9.737816811E0,1.040894735E1
2.941022910E-1,-2.428917646E0,2.673126221E0,9.737816811E0,1.038606379E1
2.966157810E-1,-2.381033659E0,2.649184227E0,9.718663216E0,1.035084118E1
2.991290100E-1,-2.448071241E0,2.634819031E0,9.685144424E0,1.033137680E1
3.016422390E-1,-2.534262419E0,2.606088638E0,9.656414032E0,1.031797053E1
3.041554680E-1,-2.586935043E0,2.582146645E0,9.646837234E0,1.031606431E1
3.066686980E-1,-2.601300240E0,2.543839216E0,9.665990829E0,1.032808112E1
3.091813020E-1,-2.620453835E0,2.515108824E0,9.713874817E0,1.037072392E1
3.116939060E-1,-2.649184227E0,2.491166830E0,9.685144424E0,1.034534252E1
3.142065100E-1,-2.653972626E0,2.457648039E0,9.675567627E0,1.032957954E1
3.167188020E-1,-2.625242233E0,2.424129248E0,9.618106842E0,1.026042293E1
3.192310930E-1,-2.596511841E0,2.404975653E0,9.555857658E0,1.019020104E1
3.217433850E-1,-2.524685621E0,2.371456861E0,9.474454880E0,1.008777183E1
3.242556770E-1,-2.481590033E0,2.381033659E0,9.402628899E0,1.001184501E1
3.267680210E-1,-2.462436438E0,2.371456861E0,9.359533310E0,9.964349685E0
3.292804160E-1,-2.414552450E0,2.390610456E0,9.258976936E0,9.862744841E0
3.317929160E-1,-2.381033659E0,2.400187254E0,9.187150002E0,9.789481360E0
3.343055730E-1,-2.347514868E0,2.419340849E0,9.096170425E0,9.700739797E0
3.368183850E-1,-2.318784237E0,2.433706045E0,9.024344444E0,9.630081936E0
3.393313540E-1,-2.313995838E0,2.457648039E0,8.938153267E0,9.554328571E0
3.418444790E-1,-2.290053844E0,2.452859640E0,8.871115685E0,9.484595959E0
3.443577600E-1,-2.266111851E0,2.443282843E0,8.823231697E0,9.431559338E0
3.468711980E-1,-2.275688648E0,2.419340849E0,8.756194115E0,9.364982880E0
3.493847390E-1,-2.275688648E0,2.385822058E0,8.717886925E0,9.320539585E0
3.518983850E-1,-2.285265446E0,2.376245260E0,8.703521729E0,9.307001137E0
3.544120830E-1,-2.290053844E0,2.357091665E0,8.770559311E0,9.366052442E0
3.569258330E-1,-2.280477047E0,2.294842243E0,8.847173691E0,9.420157047E0
3.594395830E-1,-2.299630642E0,2.275688648E0,8.971672058E0,9.537188235E0
3.619531250E-1,-2.285265446E0,2.275688648E0,9.072228432E0,9.628422804E0
3.644660930E-1,-2.246958256E0,2.251746655E0,9.177573204E0,9.713240155E0
3.669789580E-1,-2.242169857E0,2.251746655E0,9.211092949E0,9.743814550E0
3.694917710E-1,-2.223016262E0,2.237381458E0,9.220669746E0,9.745174584E0
3.720045830E-1,-2.218227863E0,2.175132275E0,9.191938400E0,9.702755630E0
3.745173960E-1,-2.270900249E0,2.151190281E0,9.177573204E0,9.696002139E0
3.770302080E-1,-2.299630642E0,2.160767078E0,9.144054413E0,9.673207667E0
3.795430210E-1,-2.313995838E0,2.151190281E0,9.077016830E0,9.611161787E0
3.820558330E-1,-2.328361034E0,2.189497471E0,9.029132843E0,9.578121119E0
3.845686460E-1,-2.309207439E0,2.218227863E0,8.947730064E0,9.503412395E0
3.870814580E-1,-2.290053844E0,2.246958256E0,8.895057678E0,9.455962093E0
3.895942710E-1,-2.290053844E0,2.290053844E0,8.847173691E0,9.421314958E0
3.921070830E-1,-2.275688648E0,2.342726469E0,8.823231697E0,9.408323108E0
3.946198960E-1,-2.266111851E0,2.381033659E0,8.799289703E0,9.393193466E0
3.971327080E-1,-2.266111851E0,2.414552450E0,8.799289703E0,9.401745888E0
3.996455210E-1,-2.218227863E0,2.433706045E0,8.832808495E0,9.426662499E0
4.021579680E-1,-2.189497471E0,2.443282843E0,8.851962090E0,9.440379392E0
4.046703640E-1,-2.160767078E0,2.467224836E0,8.837596893E0,9.426517470E0
4.071827600E-1,-2.122459888E0,2.481590033E0,8.837596893E0,9.421583939E0
4.096951560E-1,-2.074575663E0,2.491166830E0,8.847173691E0,9.422433798E0
4.122075520E-1,-2.026691675E0,2.476801634E0,8.818443298E0,9.381202891E0
4.147200000E-1,-1.945288897E0,2.467224836E0,8.813654900E0,9.356915088E0
4.172325000E-1,-1.902193308E0,2.452859640E0,8.828020096E0,9.357820185E0
4.197450520E-1,-1.892616391E0,2.452859640E0,8.895057678E0,9.419159640E0
4.222576560E-1,-1.911770105E0,2.428917646E0,8.947730064E0,9.466592796E0
4.247703120E-1,-1.954865694E0,2.414552450E0,8.995614052E0,9.516965671E0
4.272830210E-1,-1.988384485E0,2.390610456E0,9.057863235E0,9.576720608E0
4.297957810E-1,-2.012326479E0,2.381033659E0,9.105747223E0,9.624625272E0
4.323085930E-1,-2.017114878E0,2.352303267E0,9.167996407E0,9.677512139E0
4.348215100E-1,-2.041056871E0,2.333149672E0,9.258976936E0,9.764125893E0
4.373345310E-1,-2.050633669E0,2.290053844E0,9.407417297E0,9.896915947E0
4.398476560E-1,-2.084152699E0,2.285265446E0,9.608530045E0,1.009405668E1
4.423608330E-1,-2.112883091E0,2.275688648E0,9.761758804E0,1.024377707E1
4.448740620E-1,-2.141613483E0,2.256535053E0,9.900622368E0,1.037789873E1
4.473873430E-1,-2.160767078E0,2.246958256E0,1.002990913E1,1.050318109E1
4.499006250E-1,-2.136825085E0,2.227804661E0,1.007300472E1,1.053539554E1
4.524139060E-1,-2.074575663E0,2.237381458E0,1.006342793E1,1.051581293E1
4.549271870E-1,-2.007538080E0,2.261323452E0,1.000117874E1,1.044831896E1
4.574404680E-1,-1.906981707E0,2.328361034E0,9.881468773E0,1.032963065E1
