"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.960603750E-1,-2.232593060E0,3.448847532E0,8.866327286E0,9.771938426E0
1.985740720E-1,-2.132036686E0,3.420117140E0,8.952518463E0,9.817859671E0
2.010876660E-1,-2.036268473E0,3.386598349E0,8.990825653E0,9.820915619E0
2.036009470E-1,-1.978807688E0,3.348291159E0,9.009979248E0,9.813585461E0
2.061141250E-1,-1.921346903E0,3.290830135E0,9.033921242E0,9.804737115E0
2.086273020E-1,-1.863885999E0,3.214215755E0,9.048286438E0,9.781448840E0
2.111404790E-1,-1.801636815E0,3.147178173E0,9.033921242E0,9.734595968E0
2.136536560E-1,-1.768117905E0,3.060986757E0,9.048286438E0,9.714286815E0
2.161668330E-1,-1.734599113E0,2.965218782E0,9.043498039E0,9.673996759E0
2.186800620E-1,-1.691503525E0,2.859874010E0,9.014767647E0,9.607606323E0
2.211933430E-1,-1.677138329E0,2.792836189E0,8.971672058E0,9.544821972E0
2.237066770E-1,-1.638831019E0,2.697068214E0,8.942941666E0,9.483467177E0
2.262200620E-1,-1.629254222E0,2.615665436E0,8.885480881E0,9.404676787E0
2.287335000E-1,-1.624465823E0,2.586935043E0,8.847173691E0,9.359679719E0
2.312469370E-1,-1.605312228E0,2.529474020E0,8.842385292E0,9.336115028E0
2.337603750E-1,-1.576581836E0,2.500743628E0,8.837596893E0,9.318929543E0
2.362738120E-1,-1.552639842E0,2.476801634E0,8.871115685E0,9.340338875E0
2.387872500E-1,-1.533486247E0,2.481590033E0,8.928576469E0,9.393047798E0
2.413006870E-1,-1.514332533E0,2.543839216E0,8.995614052E0,9.470237228E0
2.438141250E-1,-1.461660147E0,2.562992811E0,9.057863235E0,9.526293557E0
2.463275620E-1,-1.461660147E0,2.586935043E0,9.158419609E0,9.628360870E0
2.488410000E-1,-1.461660147E0,2.634819031E0,9.268553734E0,9.746015084E0
2.513544370E-1,-1.428141356E0,2.682703018E0,9.345168114E0,9.826934939E0
2.538678750E-1,-1.389834046E0,2.749740601E0,9.421782494E0,9.912754279E0
2.563813120E-1,-1.346738458E0,2.826355219E0,9.503185272E0,1.000562435E1
2.588947500E-1,-1.294066072E0,2.879027605E0,9.517550468E0,1.002732137E1
2.614081870E-1,-1.246181965E0,2.922123194E0,9.512762070E0,1.002917821E1
2.639216250E-1,-1.207874775E0,2.979583979E0,9.474454880E0,1.000510757E1
2.664350620E-1,-1.179144382E0,2.993949175E0,9.436147690E0,9.969703925E0
2.689483430E-1,-9.828197956E-1,3.113659382E0,9.364321709E0,9.917223934E0
2.714612600E-1,-8.678981066E-1,3.175908566E0,9.292495728E0,9.858504916E0
2.739741770E-1,-9.876081944E-1,3.171120167E0,9.163208008E0,9.746576530E0
2.764870930E-1,-1.140837073E0,3.171120167E0,8.990825653E0,9.601690386E0
2.790000100E-1,-1.021126986E0,3.195062160E0,8.909422874E0,9.519923239E0
2.815129270E-1,-8.822633028E-1,3.247734547E0,8.837596893E0,9.456705931E0
2.840258950E-1,-9.780313969E-1,3.266888142E0,8.703521729E0,9.347748072E0
2.865389160E-1,-1.088164687E0,3.223792553E0,8.622118950E0,9.269189608E0
2.890519890E-1,-1.270123959E0,3.185485363E0,8.612542152E0,9.270189545E0
2.915651140E-1,-1.351526856E0,2.970007181E0,8.741828918E0,9.330977459E0
2.940782910E-1,-1.404199243E0,2.797624588E0,8.918999672E0,9.452356002E0
2.965915200E-1,-1.538274646E0,2.831143618E0,8.938153267E0,9.501170817E0
2.991048020E-1,-1.662773132E0,2.845508814E0,8.933364868E0,9.521908567E0
3.016181350E-1,-1.768117905E0,2.845508814E0,8.918999672E0,9.527419193E0
3.041315200E-1,-1.921346903E0,2.725798607E0,8.952518463E0,9.553488305E0
3.066449580E-1,-2.285265446E0,2.333149672E0,9.110535622E0,9.678217029E0
3.091583950E-1,-2.476801634E0,2.146401882E0,9.316437721E0,9.876112554E0
3.116718330E-1,-2.524685621E0,2.088941097E0,9.484031677E0,1.003417008E1
3.141852700E-1,-2.519897223E0,2.045845270E0,9.680356026E0,1.021002731E1
3.166987080E-1,-2.457648039E0,2.012326479E0,9.881468773E0,1.037944685E1
3.192121450E-1,-2.352303267E0,2.007538080E0,1.009694672E1,1.055991822E1
3.217255830E-1,-2.184709072E0,2.007538080E0,1.019750404E1,1.062036965E1
3.242390200E-1,-2.002749681E0,2.045845270E0,1.022144604E1,1.061482210E1
3.267525100E-1,-1.772906303E0,2.122459888E0,1.021665764E1,1.058433399E1
3.292660520E-1,-1.519120932E0,2.232593060E0,1.012088871E1,1.047495052E1
3.317795930E-1,-1.203086376E0,2.337938070E0,9.958083153E0,1.029935878E1
3.342931350E-1,-8.966285586E-1,2.448071241E0,9.742605209E0,1.008540291E1
3.368066770E-1,-4.944026470E-1,2.558204412E0,9.565434456E0,9.913948765E0
3.393202180E-1,-2.513911761E-2,2.682703018E0,9.445724487E0,9.819329842E0
3.418337600E-1,5.015852451E-1,2.893392801E0,9.373898506E0,9.823099453E0
3.443473020E-1,1.047463298E0,3.108870983E0,9.287707329E0,9.850064242E0
3.468608430E-1,1.636436820E0,3.314772367E0,9.258976936E0,9.969668762E0
3.493743850E-1,2.048239470E0,3.372233152E0,9.215881348E0,1.002495438E1
3.518879270E-1,2.287659645E0,3.434482336E0,9.144054413E0,1.003208785E1
3.544014680E-1,2.364274263E0,3.477577925E0,9.067440033E0,9.995089283E0
3.569150100E-1,2.340332270E0,3.405751944E0,9.005190849E0,9.908065586E0
3.594283430E-1,2.215833664E0,3.204638958E0,8.909422874E0,9.724065283E0
3.619414680E-1,2.019509077E0,2.989160776E0,8.799289703E0,9.510047231E0
3.644544890E-1,1.813607812E0,2.788047791E0,8.622118950E0,9.241391614E0
3.669675100E-1,1.708262920E0,2.639607430E0,8.325238228E0,8.899173059E0
3.694805310E-1,1.636436820E0,2.539050817E0,7.946953773E0,8.501692702E0
3.719935000E-1,1.598129630E0,2.534262419E0,7.501632690E0,8.077808944E0
3.745064680E-1,1.555034041E0,2.649184227E0,7.065887928E0,7.704744003E0
3.770194370E-1,1.459265947E0,2.754528999E0,6.706757545E0,7.395774732E0
3.795324060E-1,1.291671872E0,2.797624588E0,6.357203960E0,7.064641658E0
3.820453750E-1,1.119289279E0,2.764105797E0,6.089053631E0,6.780093175E0
3.845583430E-1,9.516952038E-1,2.653972626E0,6.055534840E0,6.679730283E0
3.870713640E-1,7.888894677E-1,2.529474020E0,6.136937618E0,6.684503627E0
3.895844370E-1,6.452373862E-1,2.448071241E0,6.184821606E0,6.682918702E0
3.920975620E-1,5.015852451E-1,2.414552450E0,6.165668011E0,6.640565737E0
3.946107390E-1,3.962403834E-1,2.486378431E0,6.060323238E0,6.562514907E0
3.971240200E-1,3.435679376E-1,2.562992811E0,5.892728806E0,6.435155309E0
3.996374060E-1,3.148375154E-1,2.634819031E0,5.720346451E0,6.305851053E0
4.021508950E-1,2.813186944E-1,2.682703018E0,5.868786812E0,6.459001032E0
4.046644890E-1,2.908954918E-1,2.701856613E0,6.165668011E0,6.737960475E0
4.071781870E-1,3.770867586E-1,2.759317398E0,6.299743176E0,6.887872749E0
4.096919890E-1,4.920084476E-1,2.821566820E0,6.304531574E0,6.924624900E0
4.122058430E-1,6.452373862E-1,2.840720415E0,6.414664745E0,7.045136447E0
4.147197500E-1,8.128314614E-1,2.802412987E0,6.701969147E0,7.309624065E0
4.172337080E-1,9.612720013E-1,2.768894196E0,7.003638744E0,7.592218028E0
4.197477180E-1,1.033097982E0,2.716221809E0,7.357980251E0,7.911069823E0
4.222617290E-1,1.028309584E0,2.639607430E0,7.741052628E0,8.243108865E0
4.247754270E-1,9.947907925E-1,2.500743628E0,8.167220116E0,8.599233212E0
4.272887600E-1,9.181763530E-1,2.313995838E0,8.689156532E0,9.038753553E0
4.298020930E-1,8.511387110E-1,2.093729496E0,9.244611740E0,9.516879033E0
4.323153220E-1,8.271966577E-1,1.763329506E0,9.761758804E0,9.954170996E0
4.348285520E-1,8.798691034E-1,1.327584863E0,1.025017643E1,1.037317541E1
4.373417810E-1,9.900023937E-1,8.678981066E-1,1.061409473E1,1.069543636E1
4.398550100E-1,1.215057373E0,3.507505357E-1,1.089661026E1,1.096975412E1
4.423682390E-1,1.507149935E0,-1.568202078E-1,1.111687660E1,1.121967196E1
4.448814680E-1,1.880645394E0,-6.596025825E-1,1.124137592E1,1.141667357E1
4.473946970E-1,2.297236443E0,-1.076193690E0,1.127489471E1,1.155676161E1
4.499079790E-1,2.737769604E0,-1.420958757E0,1.122222233E1,1.163841828E1
4.524213120E-1,3.202244759E0,-1.655590534E0,1.111687660E1,1.168675733E1
4.549346970E-1,3.690661907E0,-1.770512104E0,1.097801304E1,1.171633342E1
4.574481350E-1,4.121618271E0,-1.760935307E0,1.082478428E1,1.171599697E1
4.599616250E-1,4.456806660E0,-1.660378933E0,1.064282513E1,1.165717421E1
4.624751660E-1,4.638765812E0,-1.435323954E0,1.037946320E1,1.145912559E1
4.649887600E-1,4.590881824E0,-1.090558887E0,1.014483070E1,1.118852558E1
4.675024060E-1,4.332307816E0,-6.643909812E-1,9.948506355E0,1.087120440E1
4.700161040E-1,3.920505285E0,-2.190694511E-1,9.838373184E0,1.059301374E1
4.725298020E-1,3.379415751E0,2.310404629E-1,9.804854393E0,1.037347580E1
4.750435000E-1,2.804807186E0,6.572083831E-1,9.862315178E0,1.027444047E1
4.775571970E-1,2.196680069E0,9.971849918E-1,9.958083153E0,1.024613104E1
4.800708950E-1,1.583764434E0,1.250970364E0,1.011131191E1,1.031076453E1
4.825845930E-1,9.516952038E-1,1.428141356E0,1.025975323E1,1.040230012E1
4.850982910E-1,4.010287821E-1,1.538274646E0,1.046086597E1,1.058096545E1
4.876119890E-1,-3.471592441E-2,1.657984734E0,1.069070911E1,1.081856645E1
4.901253750E-1,-2.885012925E-1,1.686715126E0,1.095407104E1,1.108692533E1
4.926387600E-1,-4.800374508E-1,1.653196216E0,1.120306873E1,1.133455966E1
4.951521450E-1,-5.997475386E-1,1.567005038E0,1.144248867E1,1.156484971E1
4.976655310E-1,-6.476315856E-1,1.485602140E0,1.161487103E1,1.172738971E1
5.001789160E-1,-6.141127348E-1,1.418564558E0,1.170585060E1,1.180747213E1
5.026923020E-1,-5.614402890E-1,1.346738458E0,1.173936939E1,1.182969625E1
5.052056870E-1,-4.800374508E-1,1.313219666E0,1.172979259E1,1.181283269E1
5.077190720E-1,-3.842693865E-1,1.303642869E0,1.167712021E1,1.175594675E1
5.102324580E-1,-2.837128937E-1,1.332373261E0,1.162444782E1,1.170399499E1
5.127458430E-1,-1.831564307E-1,1.380257249E0,1.163402462E1,1.171704678E1
5.152592810E-1,-7.302315533E-2,1.485602140E0,1.169148540E1,1.178571920E1
5.177727700E-1,1.795651205E-2,1.567005038E0,1.178246498E1,1.188622346E1
5.202863120E-1,1.328781992E-1,1.634042621E0,1.193090534E1,1.204301682E1
5.227999060E-1,2.573766708E-1,1.710657120E0,1.209371090E1,1.221680948E1
5.253135520E-1,3.770867586E-1,1.763329506E0,1.228524780E1,1.241687718E1
5.278272500E-1,5.255272985E-1,1.801636815E0,1.245763016E1,1.259819921E1
5.303410000E-1,8.990227580E-1,2.050633669E0,1.280718327E1,1.300143390E1
5.328548020E-1,1.215057373E0,2.175132275E0,1.297956562E1,1.321653088E1
5.353686040E-1,1.397016644E0,2.141613483E0,1.295083523E1,1.320084455E1
5.378824060E-1,1.526303530E0,2.069787264E0,1.290295124E1,1.315673867E1
5.403962080E-1,1.607706428E0,1.964442492E0,1.282154846E1,1.307041924E1
5.429095410E-1,1.665167332E0,1.887827992E0,1.274014568E1,1.298645405E1
5.454227180E-1,1.717839718E0,1.796848416E0,1.265395451E1,1.289582111E1
5.479357910E-1,1.765723705E0,1.691503525E0,1.258212852E1,1.281752404E1
5.504488640E-1,1.794454217E0,1.595735431E0,1.250551414E1,1.273398294E1
5.529619370E-1,1.794454217E0,1.543063045E0,1.240974617E1,1.263340451E1
5.554749060E-1,1.794454217E0,1.519120932E0,1.230918980E1,1.253171767E1
5.579876660E-1,1.736993313E0,1.499967337E0,1.219905663E1,1.241305886E1
5.605004270E-1,1.713051319E0,1.432929754E0,1.204582691E1,1.225111336E1
5.630131870E-1,1.669955730E0,1.442506552E0,1.192611694E1,1.212855485E1
5.655259470E-1,1.622071624E0,1.514332533E0,1.180161858E1,1.200843538E1
5.680387080E-1,1.569399238E0,1.595735431E0,1.165796661E1,1.187087070E1
5.705515200E-1,1.473631144E0,1.667561531E0,1.148079586E1,1.169448690E1
5.730643850E-1,1.353921056E0,1.768117905E0,1.127489471E1,1.149271917E1
5.755772500E-1,1.258152962E0,1.902193308E0,1.106420422E1,1.129680943E1
5.780901140E-1,1.205480576E0,1.983596087E0,1.082957268E1,1.107553526E1
5.806029790E-1,1.176750183E0,1.940500498E0,1.038903999E1,1.063402253E1
5.831157910E-1,1.124077678E0,1.969230890E0,1.005385113E1,1.030637392E1
5.856286040E-1,1.037886381E0,2.031480074E0,9.766547203E0,1.002943486E1
5.881414160E-1,9.325415492E-1,2.108094692E0,9.527127266E0,9.802032999E0
5.906542290E-1,8.607155085E-1,2.218227863E0,9.306860924E0,9.606197286E0
5.931670410E-1,7.553706169E-1,2.270900249E0,9.048286438E0,9.359436958E0
5.956799060E-1,6.787561774E-1,2.309207439E0,8.789712906E0,9.113298081E0
5.981928220E-1,6.643909812E-1,2.347514868E0,8.497620583E0,8.840916072E0
6.007057910E-1,7.122750282E-1,2.357091665E0,8.282142639E0,8.640434221E0
6.032188120E-1,8.176198602E-1,2.390610456E0,8.033144951E0,8.421100783E0
6.057318850E-1,9.900023937E-1,2.448071241E0,7.784148216E0,8.219861373E0
6.082450100E-1,1.181538582E0,2.524685621E0,7.583035469E0,8.079139671E0
6.107581870E-1,1.392228246E0,2.572569609E0,7.448959827E0,8.002713064E0
6.132714160E-1,1.526303530E0,2.653972626E0,7.362768650E0,7.973928477E0
6.157846450E-1,1.598129630E0,2.725798607E0,7.314884663E0,7.968157503E0
6.182978750E-1,1.602918029E0,2.831143618E0,7.367557049E0,8.053919372E0
6.208111040E-1,1.665167332E0,2.888604403E0,7.492055893E0,8.200470666E0
6.233242290E-1,1.765723705E0,2.888604403E0,7.578247070E0,8.300099051E0
6.258369890E-1,1.875856996E0,2.850297213E0,7.683591843E0,8.407176534E0
6.283497500E-1,2.029085875E0,2.788047791E0,7.693168640E0,8.430613483E0
6.308625100E-1,2.167949677E0,2.692279816E0,7.563881874E0,8.316290364E0
6.333752700E-1,2.297236443E0,2.625242233E0,7.583035469E0,8.346952676E0
6.358880310E-1,2.378639460E0,2.505532026E0,7.669226646E0,8.411459669E0
6.384007910E-1,2.402581453E0,2.385822058E0,7.879916191E0,8.576574124E0
6.409135520E-1,2.369062662E0,2.246958256E0,8.172008514E0,8.800170593E0
6.434263640E-1,2.278082848E0,2.093729496E0,8.693944931E0,9.228111569E0
6.459392290E-1,2.000355482E0,2.021903276E0,9.100958824E0,9.535038879E0
6.484521450E-1,1.823184609E0,1.988384485E0,9.163208008E0,9.552070769E0
6.509651140E-1,1.741781712E0,1.796848416E0,9.800065994E0,1.011453218E1
6.534781350E-1,1.693897724E0,1.576581836E0,1.033157921E1,1.058756009E1
6.559912080E-1,1.602918029E0,1.303642869E0,1.039382839E1,1.059719300E1
6.585043330E-1,1.406593442E0,1.126471877E0,1.031242561E1,1.046869457E1
6.610175100E-1,1.224634171E0,8.918401599E-1,1.069070911E1,1.079751680E1
6.635307390E-1,1.028309584E0,7.194576263E-1,1.069070911E1,1.076412102E1
6.660440200E-1,8.176198602E-1,5.662286878E-1,1.072901630E1,1.077501313E1
6.685573540E-1,6.835445762E-1,3.746925592E-1,1.091576385E1,1.094356104E1
6.710706870E-1,5.686228871E-1,2.262520641E-1,1.109772301E1,1.111458402E1
6.735840200E-1,4.776432514E-1,6.823474914E-2,1.144727707E1,1.145744087E1
6.760973540E-1,3.627215624E-1,-3.591302549E-3,1.154783344E1,1.155352920E1
6.786106870E-1,3.435679376E-1,-6.584054977E-2,1.154304504E1,1.154834459E1
