"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.046276900E-2,-1.897404790E0,5.689820290E0,8.325238228E0,1.026078902E1
4.296881100E-2,-1.974019289E0,5.541379929E0,8.291719437E0,1.016642783E1
4.547610200E-2,-2.055422068E0,5.368997097E0,8.219893456E0,1.003082938E1
4.798485200E-2,-2.103306293E0,5.172672749E0,8.219893456E0,9.937156995E0
5.049521700E-2,-2.084152699E0,4.971560001E0,8.186373711E0,9.801878180E0
5.300724800E-2,-2.079364061E0,4.813542366E0,8.143278122E0,9.685397441E0
5.552089400E-2,-2.031480074E0,4.641160011E0,8.128912926E0,9.578439481E0
5.803610200E-2,-1.945288897E0,4.521450043E0,8.138489723E0,9.511186801E0
6.055271700E-2,-1.854309201E0,4.406527996E0,8.148066521E0,9.447059840E0
6.307058200E-2,-1.748964310E0,4.253299236E0,8.181585312E0,9.385508445E0
6.558943600E-2,-1.619677424E0,4.085705280E0,8.306084633E0,9.397200888E0
6.810907100E-2,-1.677138329E0,4.037821293E0,8.310873032E0,9.390814891E0
7.062917500E-2,-1.710657120E0,3.980360270E0,8.229470253E0,9.300204100E0
7.314948800E-2,-1.672349930E0,3.937264681E0,8.191162109E0,9.240884382E0
7.566870700E-2,-1.600523829E0,3.879803896E0,8.195950508E0,9.208048628E0
7.818224800E-2,-1.519120932E0,3.860650301E0,8.219893456E0,9.207551117E0
8.069573800E-2,-1.461660147E0,3.870227098E0,8.243835449E0,9.223661480E0
8.320922700E-2,-1.413776159E0,3.889380693E0,8.267777443E0,9.245657849E0
8.572271700E-2,-1.375468850E0,3.918111086E0,8.291719437E0,9.273409311E0
8.823605000E-2,-1.365892053E0,3.956418276E0,8.291719437E0,9.288246222E0
9.074938400E-2,-1.365892053E0,3.980360270E0,8.282142639E0,9.289930875E0
9.326271700E-2,-1.385045648E0,4.013879299E0,8.277354240E0,9.302912001E0
9.577605000E-2,-1.337161660E0,4.018667698E0,8.330026627E0,9.344893524E0
9.828938400E-2,-1.346738458E0,4.071340084E0,8.339603424E0,9.377552976E0
1.008027170E-1,-1.380257249E0,4.095282078E0,8.267777443E0,9.329125855E0
1.033156860E-1,-1.385045648E0,4.104858875E0,8.186373711E0,9.262015567E0
1.058286540E-1,-1.380257249E0,4.095282078E0,8.143278122E0,9.218970872E0
1.083416230E-1,-1.375468850E0,4.085705280E0,8.138489723E0,9.209772916E0
1.108545920E-1,-1.356315255E0,4.080916882E0,8.124124527E0,9.192109279E0
1.133675610E-1,-1.365892053E0,4.071340084E0,8.047510147E0,9.121616674E0
1.158805290E-1,-1.432929754E0,4.052186489E0,8.004414558E0,9.085381414E0
1.183934980E-1,-1.432929754E0,4.047398090E0,8.004414558E0,9.083246744E0
1.209064670E-1,-1.437718153E0,4.013879299E0,7.999626637E0,9.064893096E0
1.234194880E-1,-1.447294950E0,3.994725466E0,7.980473042E0,9.041042207E0
1.259325610E-1,-1.476025343E0,4.009090900E0,8.013991356E0,9.081603279E0
1.284456860E-1,-1.471236944E0,3.965995073E0,8.037933350E0,9.083062677E0
1.309588630E-1,-1.466448545E0,3.956418276E0,8.119336128E0,9.150264262E0
1.334721440E-1,-1.447294950E0,3.951629877E0,8.181585312E0,9.200455400E0
1.359855290E-1,-1.432929754E0,3.922899485E0,8.243835449E0,9.241387935E0
1.384990190E-1,-1.428141356E0,3.903745890E0,8.320449829E0,9.301005594E0
1.410126130E-1,-1.404199243E0,3.913322687E0,8.416217804E0,9.387150371E0
1.435263110E-1,-1.370680451E0,3.894169092E0,8.526350975E0,9.473224307E0
1.460401130E-1,-1.351526856E0,3.870227098E0,8.607753754E0,9.534081357E0
1.485540190E-1,-1.361103654E0,3.870227098E0,8.631695747E0,9.557061914E0
1.510680290E-1,-1.341950059E0,3.860650301E0,8.737040520E0,9.645793267E0
1.535821440E-1,-1.337161660E0,3.846285105E0,8.804078102E0,9.700190804E0
1.560963110E-1,-1.346738458E0,3.836708307E0,8.804078102E0,9.697722740E0
1.586105290E-1,-1.365892053E0,3.918111086E0,8.765770912E0,9.698247020E0
1.611247480E-1,-1.408987641E0,4.013879299E0,8.794501305E0,9.769325790E0
1.636389670E-1,-1.375468850E0,3.980360270E0,8.899846077E0,9.845935335E0
1.661523000E-1,-1.375468850E0,3.937264681E0,8.933364868E0,9.858954082E0
1.686656340E-1,-1.370680451E0,3.903745890E0,8.923788071E0,9.836258964E0
1.711789670E-1,-1.385045648E0,3.908534288E0,8.918999672E0,9.835829750E0
1.736923000E-1,-1.428141356E0,3.932476282E0,8.909422874E0,9.842853925E0
1.762056340E-1,-1.495178938E0,4.023456097E0,8.818443298E0,9.807583863E0
1.787189670E-1,-1.452083349E0,4.013879299E0,8.895057678E0,9.866196034E0
1.812323000E-1,-1.423352957E0,3.980360270E0,8.947730064E0,9.896013077E0
1.837456860E-1,-1.404199243E0,3.913322687E0,9.005190849E0,9.918635602E0
1.862590710E-1,-1.375468850E0,3.865438700E0,9.009979248E0,9.900164491E0
1.887725090E-1,-1.365892053E0,3.841496706E0,8.986037254E0,9.867706095E0
1.912859460E-1,-1.370680451E0,3.812766314E0,8.933364868E0,9.809228294E0
1.937993840E-1,-1.432929754E0,3.894169092E0,8.765770912E0,9.698277181E0
1.963128210E-1,-1.432929754E0,3.932476282E0,8.746617317E0,9.696441197E0
1.988262590E-1,-1.361103654E0,3.841496706E0,8.813654900E0,9.710314763E0
2.013396960E-1,-1.327584863E0,3.779247284E0,8.765770912E0,9.637631000E0
2.038531340E-1,-1.318008065E0,3.740940094E0,8.722675323E0,9.582110563E0
2.063665710E-1,-1.318008065E0,3.736151695E0,8.689156532E0,9.549733818E0
2.088800090E-1,-1.303642869E0,3.712209702E0,8.689156532E0,9.538418466E0
2.113934460E-1,-1.279700756E0,3.697844505E0,8.674791336E0,9.516495822E0
2.139068840E-1,-1.289277673E0,3.702632904E0,8.665214539E0,9.510923737E0
2.164202170E-1,-1.279700756E0,3.712209702E0,8.622118950E0,9.474126349E0
2.189331860E-1,-1.385045648E0,3.841496706E0,8.459313393E0,9.393371677E0
2.214461540E-1,-1.365892053E0,3.870227098E0,8.550292969E0,9.484293793E0
2.239591230E-1,-1.284489155E0,3.812766314E0,8.574234962E0,9.471251477E0
2.264720920E-1,-1.274912357E0,3.779247284E0,8.521562576E0,9.408779958E0
2.289850610E-1,-1.241393566E0,3.779247284E0,8.497620583E0,9.382607505E0
2.314980290E-1,-1.246181965E0,3.774458885E0,8.492832184E0,9.376977544E0
2.340109980E-1,-1.241393566E0,3.745728493E0,8.483255386E0,9.356129642E0
2.365240190E-1,-1.246181965E0,3.736151695E0,8.488043785E0,9.357279855E0
2.390370920E-1,-1.236605167E0,3.726574898E0,8.483255386E0,9.347843321E0
2.415502170E-1,-1.265335560E0,3.750516891E0,8.449736595E0,9.330889537E0
2.440633940E-1,-1.274912357E0,3.745728493E0,8.464101791E0,9.343281147E0
2.465765710E-1,-1.265335560E0,3.755305290E0,8.464101791E0,9.345823187E0
2.490897480E-1,-1.265335560E0,3.788824081E0,8.492832184E0,9.385332200E0
2.516029250E-1,-1.260547161E0,3.812766314E0,8.540716171E0,9.437690333E0
2.541161020E-1,-1.250970364E0,3.827131510E0,8.579023361E0,9.476893176E0
2.566292790E-1,-1.270123959E0,3.851073503E0,8.602965355E0,9.510783085E0
2.591424570E-1,-1.294066072E0,3.879803896E0,8.631695747E0,9.551631104E0
2.616556340E-1,-1.313219666E0,3.884592295E0,8.655637741E0,9.577821667E0
2.641688110E-1,-1.327584863E0,3.889380693E0,8.660426140E0,9.586070346E0
2.666819880E-1,-1.346738458E0,3.908534288E0,8.665214539E0,9.600848283E0
2.691951650E-1,-1.365892053E0,3.918111086E0,8.665214539E0,9.607455364E0
2.717083420E-1,-1.394622445E0,3.927687883E0,8.679579735E0,9.628437477E0
