"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.890790230E-1,-1.318008065E0,3.367444754E0,9.053074837E0,9.748589305E0
1.915924600E-1,-1.332373261E0,3.391386747E0,9.100958824E0,9.803273642E0
1.941059500E-1,-1.341950059E0,3.410540342E0,9.100958824E0,9.811221479E0
1.966194390E-1,-1.341950059E0,3.429693937E0,9.144054413E0,9.857857859E0
1.991320430E-1,-1.361103654E0,3.429693937E0,9.148842812E0,9.864924148E0
2.016442830E-1,-1.380257249E0,3.434482336E0,9.091382027E0,9.816007648E0
2.041564700E-1,-1.428141356E0,3.444059134E0,9.100958824E0,9.835069017E0
2.066686060E-1,-1.432929754E0,3.415328741E0,9.187150002E0,9.905628866E0
2.091807410E-1,-1.456871748E0,3.415328741E0,9.196727753E0,9.918001162E0
2.116929290E-1,-1.480813742E0,3.415328741E0,9.182361603E0,9.908231141E0
2.142052200E-1,-1.476025343E0,3.353079557E0,9.153631210E0,9.859551596E0
2.167176160E-1,-1.480813742E0,3.319560766E0,9.129689217E0,9.826673812E0
2.192301680E-1,-1.490390539E0,3.309983969E0,9.043498039E0,9.744850672E0
2.217428770E-1,-1.523909330E0,3.305195332E0,8.981248856E0,9.690688667E0
2.242557410E-1,-1.538274646E0,3.281253338E0,8.923788071E0,9.631557812E0
2.267687620E-1,-1.557428241E0,3.262099743E0,8.851962090E0,9.561595593E0
2.292819390E-1,-1.547851443E0,3.257311344E0,8.813654900E0,9.522942506E0
2.317952730E-1,-1.576581836E0,3.266888142E0,8.746617317E0,9.468974755E0
2.343087620E-1,-1.605312228E0,3.276464939E0,8.684368134E0,9.419686817E0
2.368224080E-1,-1.624465823E0,3.281253338E0,8.636484146E0,9.380531493E0
2.393362100E-1,-1.653196216E0,3.281253338E0,8.646060944E0,9.394362726E0
2.418501160E-1,-1.653196216E0,3.281253338E0,8.636484146E0,9.385549510E0
2.443640750E-1,-1.672349930E0,3.281253338E0,8.617330551E0,9.371326671E0
2.468780850E-1,-1.686715126E0,3.276464939E0,8.617330551E0,9.372225789E0
2.493920430E-1,-1.705868721E0,3.262099743E0,8.617330551E0,9.370681333E0
2.519048560E-1,-1.725022316E0,3.238157749E0,8.636484146E0,9.383508193E0
2.544176680E-1,-1.720233917E0,3.204638958E0,8.636484146E0,9.371113807E0
2.569304290E-1,-1.744175911E0,3.156754971E0,8.607753754E0,9.332774305E0
2.594431890E-1,-1.758541107E0,3.123236179E0,8.579023361E0,9.297672445E0
2.619559500E-1,-1.772906303E0,3.084928989E0,8.550292969E0,9.261074100E0
2.644687100E-1,-1.763329506E0,3.046621561E0,8.502408981E0,9.202292778E0
2.669814700E-1,-1.739387512E0,3.037044764E0,8.521562576E0,9.212281941E0
2.694942310E-1,-1.710657120E0,3.051409960E0,8.579023361E0,9.264830941E0
2.720070430E-1,-1.696291924E0,3.051409960E0,8.636484146E0,9.315437050E0
2.745199080E-1,-1.681926727E0,3.065775394E0,8.607753754E0,9.290924656E0
2.770328250E-1,-1.681926727E0,3.060986757E0,8.579023361E0,9.262729580E0
2.795457930E-1,-1.701080322E0,3.046621561E0,8.521562576E0,9.208290066E0
2.820588140E-1,-1.696291924E0,3.003525972E0,8.459313393E0,9.135565534E0
2.845718350E-1,-1.681926727E0,2.936488390E0,8.373122215E0,9.031113841E0
2.870849080E-1,-1.667561531E0,2.926911592E0,8.392275810E0,9.043111533E0
2.895980330E-1,-1.624465823E0,2.936488390E0,8.531139374E0,9.167452879E0
2.921112100E-1,-1.590947032E0,2.941276789E0,8.674791336E0,9.297000932E0
