timestamp_ms,ax,ay,az,gx,gy,gz,label
27880,-5.41,5.16,6.79,0.14,-0.22,-0.17,stairs
27900,-5.27,5.17,6.92,0.14,-0.13,-0.11,stairs
27920,-5.70,5.02,7.01,0.13,-0.16,-0.11,stairs
27940,-5.17,5.04,7.02,0.11,-0.24,-0.19,stairs
27960,-5.07,4.88,7.11,0.09,-0.14,-0.13,stairs
27980,-5.44,4.77,7.36,0.09,-0.16,-0.14,stairs
28000,-5.20,4.91,7.31,0.09,-0.27,-0.20,stairs
28020,-4.93,4.83,7.22,0.09,-0.24,-0.18,stairs
28040,-5.01,4.83,7.17,0.13,-0.20,-0.17,stairs
28060,-5.20,4.93,7.25,0.14,-0.20,-0.17,stairs
28080,-5.18,4.99,6.91,0.17,-0.24,-0.20,stairs
28100,-5.03,5.21,6.77,0.17,-0.20,-0.19,stairs
28120,-5.40,5.18,6.54,0.18,-0.14,-0.16,stairs
28140,-5.54,5.37,6.39,0.19,-0.13,-0.15,stairs
28160,-5.66,5.45,6.03,0.21,-0.10,-0.13,stairs
28180,-5.78,5.80,5.99,0.23,-0.04,-0.09,stairs
28200,-5.96,6.16,5.85,0.22,0.03,-0.02,stairs
28220,-6.14,6.15,5.97,0.16,0.04,0.05,stairs
28240,-6.47,6.14,6.04,0.21,0.04,0.33,stairs
28260,-5.83,6.01,5.94,0.24,0.03,0.37,stairs
28280,-5.60,6.86,5.54,0.26,0.12,0.34,stairs
28300,-6.15,6.58,6.12,-0.13,0.24,0.44,stairs
28320,-6.20,5.84,6.35,-0.11,0.05,0.45,stairs
28340,-5.18,6.22,7.83,-0.19,-0.06,0.42,stairs
28360,-6.16,5.73,5.48,0.02,0.23,0.64,stairs
28380,-6.10,7.06,6.85,-0.47,-0.06,0.47,stairs
28400,-5.34,4.61,6.73,-0.52,-0.12,0.51,stairs
28420,-5.20,5.58,7.56,-0.33,-0.11,0.64,stairs
28440,-4.88,4.78,7.37,-0.40,-0.09,0.59,stairs
28460,-4.97,5.48,7.72,-0.29,-0.05,0.76,stairs
28480,-4.90,4.98,8.66,-0.51,-0.10,0.73,stairs
28500,-4.70,4.57,8.82,-0.30,-0.24,0.72,stairs
28520,-4.62,5.12,8.92,-0.26,-0.38,0.63,stairs
28540,-4.31,4.92,8.84,-0.28,-0.45,0.52,stairs
28560,-4.04,5.04,8.79,-0.21,-0.50,0.51,stairs
28580,-4.05,4.75,8.74,-0.19,-0.56,0.45,stairs
28600,-3.60,4.72,8.61,-0.09,-0.66,0.32,stairs
28620,-3.36,4.85,8.21,-0.10,-0.64,0.25,stairs
28640,-3.52,4.49,8.08,-0.12,-0.68,0.20,stairs
28660,-3.09,4.32,8.17,-0.12,-0.80,0.08,stairs
28680,-2.39,4.05,7.92,-0.03,-0.74,0.04,stairs
28700,-2.23,4.17,8.15,0.04,-0.54,-0.01,stairs
28720,-2.74,3.64,8.26,0.15,-0.45,-0.18,stairs
28740,-2.93,3.90,7.73,0.39,-0.40,-0.18,stairs
28760,-3.15,4.82,7.26,0.43,-0.34,-0.24,stairs
28780,-3.62,4.55,6.89,0.31,-0.40,-0.25,stairs
28800,-2.62,4.19,9.41,0.39,-0.58,-0.23,stairs
28820,-1.66,3.89,9.49,0.92,-0.57,-0.34,stairs
28840,-1.57,4.75,7.56,1.87,0.38,-0.04,stairs
28860,-7.84,8.83,3.75,1.83,0.07,0.31,stairs
28880,-4.17,10.40,5.73,-0.00,-1.46,-0.84,stairs
28900,-1.73,4.96,6.57,-0.42,-1.05,-0.47,stairs
28920,-2.86,5.34,9.01,0.31,-0.85,0.03,stairs
28940,-2.44,4.88,9.38,0.03,-1.58,-0.75,stairs
28960,-0.71,4.75,7.52,0.01,-1.99,-1.01,stairs
28980,0.37,5.16,8.55,-0.24,-1.83,-1.20,stairs
29000,-2.09,4.94,8.55,-0.12,-1.37,-0.92,stairs
29020,-3.35,6.57,8.97,-0.28,-1.47,-1.22,stairs
29040,-3.28,5.90,7.89,-0.43,-1.78,-1.46,stairs
29060,-1.74,6.74,6.03,-0.37,-2.12,-1.79,stairs
29080,-3.19,7.68,6.75,-0.56,-1.30,-0.94,stairs
29100,-6.18,6.38,7.37,-0.81,-1.65,-0.75,stairs
29120,-2.61,5.96,8.35,-1.20,-2.43,-1.46,stairs
29140,1.16,3.95,8.89,-1.27,-2.05,-1.50,stairs
29160,1.24,2.41,8.81,-0.66,-1.32,-1.08,stairs
29180,1.30,4.04,8.58,-0.43,-1.18,-1.42,stairs
29200,1.10,3.68,8.56,-0.68,-1.03,-1.57,stairs
29220,1.21,2.40,9.83,-0.58,-0.88,-1.69,stairs
29240,0.53,3.01,10.69,-0.15,-0.34,-1.48,stairs
29260,-2.64,3.57,10.35,0.08,-0.02,-1.15,stairs
29280,-3.77,4.46,10.10,0.06,-0.40,-1.19,stairs
29300,-2.72,4.17,10.33,-0.11,-0.66,-1.15,stairs
29320,-1.07,3.37,9.33,-0.02,-0.70,-1.29,stairs
29340,-0.33,4.30,8.03,0.14,-0.24,-1.05,stairs
29360,-2.64,5.00,8.46,0.11,0.14,-0.52,stairs
29380,-3.79,5.66,9.36,-0.24,-0.59,-0.78,stairs
29400,-0.62,4.51,9.56,-0.66,-1.14,-1.14,stairs
29420,2.05,3.45,10.23,-0.38,-0.62,-0.95,stairs
29440,0.32,3.81,10.36,0.14,0.39,-0.30,stairs
29460,-2.43,4.70,10.52,0.19,0.32,-0.31,stairs
29480,-1.41,4.61,9.99,-0.09,-0.26,-0.75,stairs
29500,0.04,4.26,9.04,-0.04,-0.20,-0.71,stairs
29520,-1.32,4.72,9.25,0.14,0.15,-0.34,stairs
29540,-2.92,4.80,9.53,0.09,-0.04,-0.36,stairs
29560,-1.52,4.58,9.04,-0.04,-0.40,-0.64,stairs
29580,-0.02,4.24,8.91,-0.08,-0.16,-0.41,stairs
29600,-0.85,3.48,8.93,-0.01,0.06,-0.20,stairs
29620,-1.19,3.82,9.10,-0.02,-0.20,-0.41,stairs
29640,-1.02,4.69,9.95,-0.14,-0.14,-0.25,stairs
29660,-3.21,4.15,11.36,-0.23,-0.10,0.08,stairs
29680,-2.78,3.09,11.08,-0.28,-0.69,-0.36,stairs
29700,0.27,3.33,10.17,-0.28,-0.68,-0.48,stairs
29720,-0.66,2.68,10.80,-0.23,-0.04,0.07,stairs
29740,-2.86,2.55,11.56,-0.08,-0.24,0.10,stairs
29760,-1.68,3.03,11.73,-0.23,-0.70,-0.27,stairs
29780,0.40,2.15,11.20,-0.27,-0.53,-0.35,stairs
29800,1.82,0.98,11.68,-0.14,-0.42,-0.62,stairs
29820,5.99,0.54,11.96,-0.02,0.25,-1.18,stairs
29840,1.38,-0.11,10.03,0.85,1.77,-0.18,stairs
29860,-12.77,4.05,9.25,1.12,0.65,1.12,stairs
29880,-6.78,3.64,10.96,-0.85,-2.75,-1.79,stairs
29900,1.44,-0.88,9.13,-0.74,-2.61,-1.67,stairs
29920,3.57,0.11,8.75,0.21,-0.94,-1.02,stairs
29940,0.28,1.12,9.28,0.36,0.38,-0.42,stairs
29960,-2.94,1.52,9.68,0.28,-0.07,-0.64,stairs
29980,-2.16,2.72,9.31,-0.20,-1.12,-1.10,stairs
30000,0.48,1.79,8.92,-0.66,-1.52,-1.33,stairs
30020,2.95,0.65,8.90,-0.55,-1.21,-1.43,stairs
30040,2.65,0.58,9.32,-0.10,-0.05,-0.80,stairs
30060,-2.31,1.58,10.09,0.28,0.48,-0.10,stairs
30080,-4.93,3.12,11.18,-0.05,-0.74,-0.63,stairs
30100,-0.28,2.69,10.24,-0.59,-1.75,-1.73,stairs
30120,3.31,2.25,9.32,-0.43,-0.87,-1.45,stairs
30140,1.29,2.20,9.56,-0.11,0.31,-0.80,stairs
30160,-1.75,2.22,10.55,-0.11,0.07,-0.87,stairs
30180,-0.43,1.90,10.79,-0.19,-0.68,-1.54,stairs
30200,2.55,1.48,10.14,0.01,-0.55,-1.81,stairs
30220,3.40,1.99,8.85,0.35,0.36,-1.62,stairs
30240,1.25,2.62,9.00,0.42,0.99,-1.31,stairs
30260,-1.07,2.66,9.94,0.19,0.69,-1.42,stairs
30280,-1.03,2.51,10.23,-0.12,0.07,-1.82,stairs
30300,0.22,0.95,10.32,-0.05,-0.25,-1.99,stairs
30320,1.65,1.44,9.77,0.33,0.02,-1.99,stairs
30340,-0.10,2.61,10.01,0.49,1.00,-0.89,stairs
30360,-4.75,2.79,12.59,0.34,0.87,-0.15,stairs
30380,-4.60,1.48,12.90,0.00,-0.76,-0.96,stairs
30400,1.03,1.80,11.02,0.10,-1.24,-1.22,stairs
30420,2.12,2.27,10.21,0.35,0.06,-0.09,stairs
30440,-2.09,2.22,11.06,0.49,0.47,0.64,stairs
30460,-2.32,2.55,11.29,0.11,-0.69,-0.15,stairs
30480,1.63,2.04,10.72,-0.23,-1.04,-0.63,stairs
30500,2.12,1.34,10.29,-0.02,-0.27,-0.22,stairs
30520,-2.42,2.99,8.94,0.10,-0.39,-0.33,stairs
30540,-2.08,1.49,10.75,-0.32,-1.37,-0.56,stairs
30560,4.24,0.82,9.42,-0.07,-1.08,-1.17,stairs
30580,3.78,2.46,8.62,0.47,0.85,-0.11,stairs
30600,-2.88,3.11,10.57,0.48,1.28,0.36,stairs
30620,-4.69,3.23,11.27,-0.00,-0.34,-0.69,stairs
30640,-0.12,2.85,10.13,-0.35,-1.15,-1.28,stairs
30660,2.23,2.19,9.42,-0.14,-0.21,-0.63,stairs
30680,-0.54,2.32,10.15,0.19,0.72,0.09,stairs
30700,-4.58,3.08,10.89,0.14,0.17,0.10,stairs
30720,-3.01,2.92,10.62,-0.35,-1.28,-0.80,stairs
30740,2.11,2.06,9.14,-0.59,-1.75,-1.44,stairs
