timestamp_ms,ax,ay,az,gx,gy,gz,label
1040,2.37,-3.59,9.97,0.13,0.04,0.26,stairs
1060,2.07,-3.38,9.36,0.15,0.04,0.29,stairs
1080,2.22,-3.63,10.10,0.20,0.06,0.32,stairs
1100,1.80,-3.44,10.34,0.19,0.00,0.36,stairs
1120,1.69,-3.53,10.38,0.16,-0.11,0.41,stairs
1140,2.25,-3.48,9.54,0.04,-0.28,0.58,stairs
1160,2.64,-5.01,9.94,0.11,-0.11,0.57,stairs
1180,2.33,-4.71,10.13,0.20,-0.07,0.57,stairs
1200,2.28,-4.31,9.57,0.29,-0.06,0.55,stairs
1220,1.84,-3.70,9.50,0.17,-0.12,0.44,stairs
1240,1.68,-3.70,9.63,0.03,-0.16,0.43,stairs
1260,1.85,-4.67,9.61,0.03,-0.18,0.45,stairs
1280,1.72,-4.88,9.64,0.11,-0.21,0.48,stairs
1300,1.63,-4.81,9.33,0.16,-0.20,0.50,stairs
1320,1.24,-4.63,9.28,0.10,-0.23,0.49,stairs
1340,1.51,-4.85,9.07,0.07,-0.25,0.50,stairs
1360,1.59,-5.31,9.17,0.14,-0.23,0.45,stairs
1380,1.18,-5.05,9.20,0.24,-0.21,0.45,stairs
1400,0.89,-4.87,8.92,0.26,-0.24,0.46,stairs
1420,0.74,-4.72,8.69,0.19,-0.27,0.45,stairs
1440,0.80,-4.90,8.60,0.09,-0.28,0.46,stairs
1460,0.79,-5.15,8.71,0.06,-0.23,0.47,stairs
1480,0.72,-4.95,8.90,0.10,-0.18,0.51,stairs
1500,0.84,-4.71,8.90,0.08,-0.15,0.57,stairs
1520,0.91,-4.40,9.05,0.10,-0.11,0.57,stairs
1540,1.08,-4.27,9.11,0.03,-0.13,0.51,stairs
1560,1.26,-4.35,9.09,0.04,-0.16,0.44,stairs
1580,1.41,-4.15,8.76,0.08,-0.16,0.39,stairs
1600,1.49,-3.82,8.60,0.07,-0.21,0.36,stairs
1620,1.58,-3.50,8.59,0.00,-0.22,0.35,stairs
1640,1.49,-3.56,8.82,-0.08,-0.19,0.37,stairs
1660,1.66,-4.16,8.82,-0.10,-0.18,0.37,stairs
1680,1.71,-4.38,8.85,0.03,-0.15,0.34,stairs
1700,1.48,-3.85,8.98,0.02,-0.12,0.31,stairs
1720,1.47,-3.94,9.01,-0.03,-0.10,0.31,stairs
1740,1.37,-4.05,9.07,-0.06,-0.06,0.29,stairs
1760,1.27,-4.43,9.12,-0.07,-0.07,0.29,stairs
1780,1.32,-4.24,9.03,0.10,-0.08,0.24,stairs
1800,1.47,-4.02,8.99,0.02,-0.16,0.21,stairs
1820,0.98,-3.45,9.26,-0.02,-0.22,0.40,stairs
1840,1.95,-4.40,9.05,0.07,-0.08,0.24,stairs
