timestamp_ms,ax,ay,az,gx,gy,gz,label
12940,0.96,-0.21,10.43,-0.05,0.01,-0.08,walking
12960,1.06,-0.11,10.33,0.05,-0.00,-0.06,walking
12980,1.33,0.20,10.17,0.05,-0.02,-0.03,walking
13000,1.46,0.44,10.21,0.04,-0.01,0.00,walking
13020,1.34,0.12,10.18,0.03,0.02,0.04,walking
13040,1.12,-0.24,10.32,0.05,0.04,0.05,walking
13060,1.16,-0.36,10.27,0.07,0.08,-0.01,walking
13080,1.13,-0.16,10.44,0.10,0.11,-0.04,walking
13100,1.14,0.02,10.51,0.13,0.12,-0.05,walking
13120,1.10,0.08,10.60,0.11,0.12,-0.06,walking
13140,1.06,0.06,10.65,0.11,0.11,-0.06,walking
13160,1.07,0.08,10.58,0.11,0.10,-0.08,walking
13180,1.05,0.19,10.54,0.10,0.07,-0.07,walking
13200,0.80,0.34,10.70,0.08,-0.08,0.01,walking
13220,0.93,0.12,10.54,0.11,-0.04,0.06,walking
13240,1.07,0.16,10.41,0.05,0.01,-0.02,walking
13260,0.90,0.28,10.65,0.00,0.02,0.02,walking
13280,0.94,0.22,10.52,-0.03,0.01,0.06,walking
13300,0.86,0.17,10.49,-0.07,0.00,0.07,walking
13320,0.85,-0.05,10.35,-0.07,0.00,0.07,walking
13340,0.88,0.09,10.34,-0.04,0.01,0.08,walking
13360,0.91,0.32,10.39,-0.05,0.01,0.08,walking
13380,1.02,0.33,10.27,-0.09,0.02,0.08,walking
13400,0.83,0.26,10.43,-0.08,0.06,0.07,walking
13420,0.84,0.20,10.40,-0.08,0.07,0.01,walking
13440,0.86,0.21,10.47,-0.06,0.06,-0.03,walking
13460,0.95,0.21,10.42,-0.03,0.06,-0.07,walking
13480,1.10,0.17,10.45,0.02,0.09,-0.09,walking
13500,1.27,0.33,10.52,0.04,0.11,-0.10,walking
13520,1.08,0.41,10.75,0.06,0.13,-0.10,walking
13540,1.08,0.37,10.71,0.06,0.12,-0.15,walking
13560,1.10,0.30,10.51,0.09,0.08,-0.17,walking
13580,1.24,0.23,10.28,0.16,0.05,-0.16,walking
13600,1.32,0.23,10.12,0.16,0.01,-0.13,walking
13620,1.38,0.07,10.02,0.13,0.03,-0.12,walking
13640,1.34,-0.06,10.02,0.10,0.07,-0.14,walking
13660,1.36,-0.09,10.06,0.13,0.10,-0.14,walking
13680,1.30,-0.02,10.19,0.16,0.09,-0.14,walking
13700,1.40,0.04,10.14,0.17,0.09,-0.18,walking
13720,1.53,0.24,10.18,0.17,0.12,-0.25,walking
13740,1.62,0.34,10.22,0.09,0.13,-0.32,walking
13760,1.63,0.25,10.32,0.05,0.15,-0.32,walking
13780,1.44,0.14,10.56,0.05,0.14,-0.30,walking
13800,1.43,0.09,10.53,0.02,0.14,-0.35,walking
13820,1.32,0.19,10.62,-0.01,0.12,-0.38,walking
13840,1.30,0.27,10.61,-0.06,0.08,-0.39,walking
13860,1.25,0.19,10.57,-0.12,0.06,-0.41,walking
13880,1.19,0.02,10.63,-0.10,0.05,-0.42,walking
13900,1.14,-0.05,10.66,-0.12,0.01,-0.45,walking
13920,1.10,-0.13,10.70,-0.11,0.00,-0.45,walking
13940,0.89,-0.13,10.99,-0.12,0.01,-0.48,walking
13960,0.86,-0.29,10.99,-0.06,-0.02,-0.47,walking
13980,0.78,-0.20,11.18,-0.03,-0.03,-0.46,walking
14000,0.62,-0.01,11.28,-0.01,-0.06,-0.49,walking
14020,0.49,0.19,11.28,-0.04,-0.11,-0.54,walking
14040,0.51,0.26,11.10,-0.08,-0.15,-0.60,walking
14060,0.77,0.04,10.72,-0.09,-0.13,-0.63,walking
14080,0.77,-0.16,10.75,-0.08,-0.06,-0.63,walking
14100,0.65,-0.40,10.80,-0.04,-0.07,-0.62,walking
14120,0.20,-0.22,11.21,-0.07,0.04,-0.68,walking
14140,-0.27,-0.11,11.27,-0.03,0.00,-0.65,walking
14160,-0.50,-0.37,10.97,-0.02,-0.02,-0.69,walking
14180,-0.31,-0.91,10.30,0.00,-0.08,-0.74,walking
14200,0.16,-1.18,9.83,0.10,-0.12,-0.73,walking
14220,0.55,-1.22,9.79,0.17,-0.09,-0.74,walking
14240,0.49,-0.92,10.15,0.21,-0.00,-0.76,walking
14260,0.38,-0.22,10.55,0.35,-0.05,-0.60,walking
14280,0.43,0.25,10.54,0.44,-0.16,-0.34,walking
14300,0.41,0.68,10.52,0.40,-0.13,-0.28,walking
14320,0.47,0.59,10.35,0.25,-0.09,-0.25,walking
14340,0.63,0.12,10.06,0.15,-0.08,-0.23,walking
14360,0.72,-0.30,9.88,0.01,-0.05,-0.34,walking
14380,0.78,-0.40,9.85,-0.10,-0.01,-0.45,walking
14400,0.81,-0.52,9.86,-0.08,-0.02,-0.36,walking
14420,0.73,-0.54,10.08,-0.06,-0.03,-0.29,walking
14440,0.75,-0.53,10.20,-0.01,-0.03,-0.24,walking
14460,0.52,-0.36,10.38,0.04,-0.05,-0.20,walking
14480,0.64,-0.51,10.41,0.04,-0.08,-0.25,walking
